reaction_id	reaction_equation	dead_end_test	duplicate_test_exact	duplicate_test_directions	duplicate_test_coefficients	duplicate_test_redox
MAR01248	MAM00585c + MAM01371c + MAM01597c --> MAM00582c + MAM01334c + MAM02759c	MAM00582c	ok	ok	ok	N/A
MAR01250	MAM00585r + MAM01371r + MAM01597r --> MAM00582r + MAM01334r + MAM02759r	MAM00582r	ok	ok	ok	N/A
MAR01265	MAM00257r + MAM01371r + MAM01597r --> MAM00258r + MAM01334r + MAM02759r	MAM00257r;MAM00258r	ok	ok	ok	N/A
MAR01302	MAM02039x + MAM02040x + MAM02652x --> MAM01597x + MAM02651x	MAM02651x	ok	ok	ok	N/A
MAR03009	MAM02040x + MAM02774x --> MAM01597x + MAM02039x + MAM02772x	MAM02772x	ok	ok	ok	N/A
MAR03476	MAM01836x + MAM02040x --> MAM01597x + MAM01833x + MAM02039x	MAM01833x	ok	ok	ok	N/A
MAR08419	MAM00563c + MAM02348c <=> MAM00577c + MAM01597c	MAM00563c	ok	ok	ok	N/A
MAR03104	MAM00173x + MAM02552x --> MAM01255x + MAM02039x + MAM02553x	MAM00173x	ok	ok	ok	N/A
MAR07165	MAM00196c + MAM01628c --> MAM00200c + MAM02040c	MAM00200c	ok	ok	ok	N/A
MAR07166	MAM00200c + MAM01806c --> MAM02759c + MAM02898c	MAM00200c;MAM02898c	ok	ok	ok	N/A
MAR07167	MAM02040c + MAM02898c --> MAM00194c + MAM10009c	MAM00194c;MAM02898c;MAM10009c	ok	ok	ok	N/A
MAR07168	MAM00194c + MAM02877c --> MAM00195c + MAM02871c	MAM00194c;MAM00195c	ok	ok	ok	N/A
MAR07169	MAM00195c + MAM02040c --> MAM10008c + MAM10010c	MAM00195c;MAM10008c;MAM10010c	ok	ok	ok	N/A
MAR07170	MAM01805c + MAM02040c + MAM02630c --> MAM00677c + MAM01628c + MAM02041c	MAM00677c;MAM01805c	ok	ok	ok	N/A
MAR09722	MAM02039c + MAM02553c + MAM02744c --> MAM02552c + MAM03159c	MAM03159c	ok	ok	ok	N/A
MAR01931	MAM02039c + MAM02182c + MAM02555c --> MAM01014c + MAM02554c	MAM01014c	ok	ok	ok	N/A
MAR01932	MAM01450c + 2 MAM02039c + MAM02630c + 2 MAM02827c --> MAM00592c + MAM02040c + 2 MAM02663c	MAM00592c;MAM02663c;MAM02827c	ok	ok	ok	N/A
MAR01933	MAM00592c + MAM02039c + MAM02555c + MAM02630c --> MAM00405c + MAM02040c + MAM02554c	MAM00405c;MAM00592c	ok	ok	ok	N/A
MAR01934	MAM00405c + 4 MAM02039c + 2 MAM02630c + 4 MAM02827c --> MAM00408c + 3 MAM02040c + MAM02182c + 4 MAM02663c	MAM00405c;MAM02663c;MAM02827c	ok	ok	ok	N/A
MAR01935	MAM00592c + 2 MAM02039c + MAM02630c + 2 MAM02827c --> MAM00579c + MAM02040c + 2 MAM02663c	MAM00579c;MAM00592c;MAM02663c;MAM02827c	ok	ok	ok	N/A
MAR01942	MAM00294c + 2 MAM02039c + MAM02630c + 2 MAM02828c --> MAM01614c + MAM02040c + 2 MAM02665c	MAM02665c;MAM02828c	ok	ok	ok	N/A
MAR01943	MAM02039c + MAM02555c + MAM02630c + MAM02763c --> MAM01184c + MAM02040c + MAM02554c	MAM01184c	ok	ok	ok	N/A
MAR01950	MAM00406c + 2 MAM02039c + MAM02630c + 2 MAM02828c --> MAM00283c + MAM02040c + 2 MAM02665c	MAM00283c;MAM02665c;MAM02828c	ok	ok	ok	N/A
MAR01951	MAM00283c + MAM02552c --> MAM01615c + MAM02039c + MAM02553c	MAM00283c	ok	ok	ok	N/A
MAR02022	MAM01069c + MAM02553c <=> MAM01336c + MAM02039c + MAM02552c	MAM01336c	ok	ok	ok	N/A
